Issue Summary,Category 1
P2P is not working even After Valid MPIN,P2P
View More button is not displaying if the transaction history has more than 5 records,View more 
Remaining goal amount is displaying as negative value when user loads extra money.,remaining goal  amount
Submit button on the Add card page is not working,add card page
Destination location is coming in Lat Long,Destination location
Transaction History list view: Red cross should display if the transaction gets failed.,Transaction history list view
Filter results are showing same if the user change the status from Success to Fail or Pending,filter results
Success message on the Transaction successful screen of Withdraw money is not proper as per wire frame,withdraw money
Validation message is incorrect when user reached maximum limit for GBS.,GBS
"File name is incorrect when user print, share and download the receipt, it should be same as Web.",file name
Background Screen should get blurred when pop-up appears,background screen
Transaction History details: UI Issues,transcation history
Filter functionality of transaction history is not available in Mobile App as compared to Web portal.,transaction history
Create Goal Confirmation and Success screen: UI Issues.,create goal
The message for next installment should be bold as compared to Wireframe. Also 'i' symbol is incorrect.,message for next installment
Failed records are not getting displayed on Transaction History of Mobile App. (Android and iOS),transaction history 
"Amount is not visible in ""Paying with"" section below Change Payment option for BNPL Transaction",BNPL
Mobile topup not working if Points are not in rule range,mobile top up
Navigation for entity is not proper,navigation for entity
Success message is not displaying on the Transaction successful screen of Withdraw money,withdraw money
Success message is not displaying on the Transaction successful screen of Cancel goal,Cancel goal
"On the transaction successful page of goal creation, few fields are displaying in different language",transaction successful page of goal creation
Monetary text on Transaction success screen,transaction success screen
View more page for Transaction summary is not loading in first attempt,View more page of transaction summary
"Error message should show ""0"" when we try to redeem all the available points",redemption points
Invalid MPIN error message is incorrect,Invalid MPIN 
Incorrect MPIN for redemption is giving success message,Invalid MPIN 
Profile not getting downgraded after redeeming points,redemption points
Points are not getting updated on LNR dashboard after redeeming,redemption points
"Error message for ""Redemption points"" is incorrect",redemption points
"Error message ""Loyalty points balance"" when redeem points is '0'",loyalty points balance
App is displaying white screen when clicking on the Load Money option on the very first time,No data displayed on the Load Money option
Navigation points is opposite,Navigation points
Not able to scroll pin location,Pin Location
Transaction amount is not visible on the success screen,success screen
user not able to go back,Back button 
Transaction amount is showing 2 times on the confirmation details page,Confirmation Page
Updated balance amount is incorrect,Updated balance amount
Transaction not visible under LNR transaction details,LNR transaction details
Latest transaction details are not getting displayed,Latest transaction
CVV not displayed properly for CARD,CVV
Monetary value is displayed incorrectly on success transaction screen,success transaction
Localization _ Arabic is not working for create goal GBS,GBS
Transaction amount is not visible on the success screen,Transaction amount
"Even tho google maps is available, App is prompting it isnt",Map view
Headers of Filter screen are not in bold,filter screen
Cancel button should display on Pay by point pop screen.,pay by points
BNPL late fee and total payable fee not matching,BNPL
Loyalty points should be visible instead of Loyalty wallet,Loyalty wallet
UI element of Split payment initiated doesnt match wirefram,Split payment
UI doesn't match the Split Payment page wireframe,Split payment
"UI doesn't match the ""remove member"" wireframe",remove member
UI element of Edit group doesnt match Wireframe,Edit group
UI element of Group detail doesnt match the wireframe,group detail 
UI element of the add member doesnt match wireframe,add member
UI doesnt match the wireframe of Create Group page,create group
UI Element of Split Payment Dashboard page is not as per the wireframe,Split payment
Transaction History filter is not working properly.,transaction history
Remaining value is displaying as '4.6' instead of '4.60' on Success page of Load money.,load money
Validation message is improper when maximum goal creation limit gets reached.,Goal creation limit
USD is showing before Amount Instead of INR,payment screen
Successful Transaction message doesn't match wireframe,transaction page
Points value is not displayed in Paid with section in loyalty summary,Loyalty summary page
Value is not getting changed when user updates the recurring amount and do the create goal transaction.,Transaction Details
Print Screen UI is not proper after doing BNPL payment,BNPL
Decimal values should be displaying on Goal Details page when user do Load Money.,load money
Pay in 3 emi text doesn't match the wire frame for payment popup,payment screen 
Gap between MPIN box and Eye icon,MPIN
Gap between Benefits Header and Under Line is not matching Wireframe,Benefits Header
Gap between Eligibility Criteria Header and Under Line is not matching Wireframe,Eligibility criteria
Point Expiry Tab should be placed 2 and Transaction Summary tab should be 1. Web UI doesnâ€™t match Mobile UI,Transaction summary
Successful message is incorrect after paying pending bill again on clicking repeat button,Repeat button of pending bill
Incorrect Transaction details are visible after tried Paying with different paying method,Transaction page
Download button is missing on the loyalty summary page,Loyalty summary page
Transaction detail page is blank for LNR,LNR transaction summary
Balance is not getting displayed on Home page of Customer portal.,Customer portal
"The position of ""Cancel Goal"" is not proper according to Wireframe.",Cancel goal
The content is getting cut on Create Goal page.,Create goal
Transaction Summary reports are not working from Customer Portal reports section.,Customer portal
Transaction Summary report is not working on Customer portal.,Customer portal
BNPL credit limit is not showing on All set page while registering,BNP
"User is not able to load money, actual transaction is showing success and the entries are not getting displayed in transaction history.",Transaction history
Incorrect validation message is getting displayed when user provides Invalid MPIN as compared to Web.,Invalid MPIN 
Website Crashing after clicking Hamburger menu after Success transaction,hamburger menu
Time and Date font UI is not proper on confirmation Page and successful Page,Confirmation Page
"Getting ""Adapter Time Out"" when user do Monthly payment and select 'last day of month'",Monthly payment
Time and date section is not visible below Mobifin logo on confirmation page,Confirmation Page
Localization Spanish - UI is not proper on the Card view detail screen,card view detail screen
Recent transactions are not getting displayed on Web.,Transaction history
Change Payment option is displaying on the confirmation details page while creating new goal,Change payment
Incorrect Pop message is displaying when user has entered recurring amount less than Goal Amount. (Not getting matched with Mobile App),Goal amount
"When the user increase the browser zooming, then portal is showing zero goal created even though it has more than 1 goal created",User portal
Localization Arabic : The eye button and the MPIN digits overlap each other on the confirmation page,MPIN Confirmation Page
"Button should not get displayed on 'Terms & Conditions' page, Fonts are not proper.",Terms and Conditions 
Goal is not getting displayed when insufficient scenario performed and goal status gets changed automatically to 'Cancelled'.,Goal page display
Transferring From' is not getting displayed on Cancel Goal confirmation page.,Cancel goal
Operator name is missing on the transaction successful page,Transaction successful page
UI for Eye Icon is not proper after clicking on Eye,Eye Icon
Eye Icon is not working on Login Page for MPIN,Eye Icon
Successful and Failed Page UI is not proper as it not matching wireframe,Success and Fail Page
Confirmation Page UI is not proper as it not matching wireframe,Confirmation Page
The Operator name is missing on the confirmation screen of LNR web portal,LNR web portal
Remaining amount is showing as negative value when user loads extra money.,payment
Goal Based Savings' Service is not getting displayed in the Footer.,Goal based saving's service
"Hand icon on hover is not getting displayed on ""Copy"" button.",copy button problem with hand icon
The Unit name is external id on redeem points,External ID on redeem points
Filter is not working properly on Transaction History Details.,Transaction HIstory Details
Submit button disables when 5 points are entered to be redeemed,Submit button disable
Goal Name is incorrect on transaction history details page.,Transaction history 
Button name is incorrect according to Wireframe. It is showing as 'Cancel' instead of 'Back'.,generic ui inconsistency
Profile picture is not getting filled when user uploads it while creating the goal.,user uploads 
The file name is incorrect when user downloads the transaction receipt of Withdrawal.,withdrawal 
NAN is showing as UI is not correct on confirmation page,Confirmation Page
Submit button should display as Grey color on all confirmation pages of GBS services if user has not entered the MPIN.,MPIN 
"""Available : INR"" should get displayed instead of ""Available- INR"" on confirmation page of all services of GBS.",Confirmation Page
Wrong page is getting displayed when user provides invalid MPIN while Withdraw and Cancel the goal.,MPIN goal
Available Limit shows in USD instead INR in Payment option page for BNPL,BNPL
"Page name is incorrect, as compared to Wireframe on Success page of Withdraw money.",withdraw money
Bottom message is incorrect on success page of Withdraw money.,withdraw money
Achieved goals should get displayed in 'Current Goal' sections if amount is not withdrawal.,current goal sections
Label for Goal Achieved is incorrect and 'Goal Achieved' should get displayed according to Wireframe.,Goal Achieved
Transaction Successful should get displayed instead of 'Success' on Load money success page.,Load money 
Transaction Amount is not getting displayed on Confirmation Page of Load money.,Load money
File name is incorrect when user use print functionality and saving as PDF. Also UI of PDF is not proper.,PDF upload
UI is not as per the given LNR web portal wireframe for Confirmation screen.,LNR web portal
The pop-up box for What's link is not proper as per LNR wireframe,What's next link
Transaction and Transaction Summary reports are not working from Customer Portal reports section.,Custormer Reports 
"Extra text(Late fees to be deducted, as applicable) displaying on the overdue bill payment success screen",Bill payment extra text
Transaction PIN Section is present for BNPL Payment page for Pending Bill Payment,BNPL  
Download button is not working on transaction summary page,Transaction history
UI doesn't match as Eye Icon is below MPIN Text Field,MPIN
Error pops up after clicking on Pay button for Pending bills BNPL,BNPL  
Progress bar is full even though Available credit limit is zero,credit score
Amount mismatch on BNPL payment screen after Late fees amount and Amount summation,BNPL  
Showing incorrect Total Payable Amount(INR) in the BNPL payment screen for the overdue bills,BNPL  
Email icon is not working on transaction history screen.,Transaction history
Localization Arabic The statement is wrong on the transaction history,Transaction history
Localization_Arabic Duration : Last 5 transactions is missing on the transaction history page,Transaction history
Localization Arabic Months are not displayed when scheduling is off,History screen 
Localization Arabic The UI of the Payment page is not proper - radio buttons are overlapped,Payment Page 
"Localization Arabic The option of Daily, Month and Yearly is not visible on Goal creation page",History screen 
Transaction History Details Page: UI issues.,History screen 
Transaction History screen: UI issues,Transaction history
Cancel Confirmation Screen: 'Confirm' button is getting displayed instead of 'Submit'.,Confirmation Page
Card and Bank wallets should get displayed for 'Load Money' instead of 'Create Goal'.,Load money
UI doesn't match as MPIN text box is present on confirmation page,MPIN
Cancel Goal Success Screen: Transaction ID is not getting displayed. Updated balance should get displayed instead of 'Available balance',Cancel goal
UI doesn't match wireframe while paying BNPL bills,BNPL
Emoney wallet is not updating after money transfer to BNPL user,Emoney wallet
Transaction Successful' should get display instead of 'Success' on Cancel Success screen.,Cancel Success
User is not able to Withdraw money when Goal is completed/achieved.,Withdraw money
UI is not proper after clicking on the eye icon,Eye Icon
The line is not displaying in UI of Withdraw money.,Withdraw money
The total in the wallet is wrong as LNR points should not be included in total of monetary values,Wallet inconsistency
"Print Receipt: Date is incorrect, download/print icons are not getting displayed properly, and Font issue",Print Receipt
Download Receipt: Blur letters are getting displayed.,Download Receipt
"Error message "" Transaction amount should not be more than the Goal amount"" is not getting when clicking on Next button.",Backend issue about 
"When user clicks on back button from confirmation screen, then it is getting redirected to the 'Select Category' screen.",confirmation Screen categories selection
Error popups after clicking twice on Loyalty and Rewards button on Dashbord,Error Popups 
Error popups up after clicking on back button from view more,Error Popups 
User is able to enter the characters in 'Goal Name' and 'Goal Motivation'.,Goal Screen  Issue
Resend button UI is not correct while registering the BNPL user,BNPL
Month Dropdown UI is not proper for BNPL,BNPL
Goal with its status is not displaying properly on Past goal page.,Goal Screen  Issue
FAQ link is not working.,FAQ 
"Fonts are not proper as compared to wireframe, also INR is not displaying on error message.",INR
UI is not correct when user is trying to do BNPL payment using pay in full,BNPL
App should display error when internet gets disconnected while making transaction via card/bank account/wallet,backend issues
Cancel button is visible at Terms and condition Page while registering for BNPL,BNPL
User is not getting failure notification for Create Goal.,Goal Screen  Issue
User is not getting success notification for Create Goal.,Goal Screen Issue
